iter	Logloss
0	0.6756525279
1	0.6615160061
2	0.6460728642
3	0.6379822198
4	0.6320157685
5	0.6250875384
6	0.6199785998
7	0.6158863305
8	0.6116823572
9	0.6071273794
10	0.6015937788
11	0.5988760377
12	0.596841046
13	0.5933752864
14	0.5902056593
15	0.5884249987
16	0.5864110856
17	0.5840821241
18	0.5807300347
19	0.5792722569
20	0.5756849803
21	0.57315849
22	0.5718212082
23	0.5695245011
24	0.5672115748
25	0.5659700278
26	0.5651589194
27	0.5633680762
28	0.5625144504
29	0.5604331548
30	0.5594856074
31	0.5586872032
32	0.5578641308
33	0.5571007623
34	0.5560240484
35	0.554345146
36	0.5535548621
37	0.5518240298
38	0.5504421578
39	0.5495174462
40	0.5484205058
41	0.5473065542
42	0.5465455027
43	0.5455835352
44	0.5451051576
45	0.5446190536
46	0.5440531082
47	0.5430848614
48	0.5426278173
49	0.5422165834
50	0.5416194557
51	0.5403394996
52	0.5393747905
53	0.5377147036
54	0.5373154486
55	0.536261883
56	0.5358402236
57	0.5353621844
58	0.5340143394
59	0.5335802481
60	0.5332721368
61	0.5325916891
62	0.5317413573
63	0.5310438326
64	0.530720825
65	0.5301928458
66	0.5298195467
67	0.5295325217
68	0.5289651702
69	0.5286313564
70	0.5275680925
71	0.5266337948
72	0.5255813148
73	0.5250878446
74	0.5244377853
75	0.5237154263
76	0.5231301395
77	0.5226253495
78	0.522234437
79	0.5218842461
80	0.5213659654
81	0.5209176476
82	0.5201811013
83	0.5199403048
84	0.5196344203
85	0.5191490981
86	0.5183963252
87	0.5178477273
88	0.5165651612
89	0.5162197203
90	0.5156141614
91	0.5148672136
92	0.5142974162
93	0.5140792578
94	0.5137122263
95	0.5134647296
96	0.5127785566
97	0.512507141
98	0.5118944238
99	0.5116361944
100	0.5111758077
101	0.5108558255
102	0.5102593943
103	0.5101057391
104	0.5099266046
105	0.5095299929
106	0.5089988976
107	0.5083876445
108	0.5081977771
109	0.507946132
110	0.5076814997
111	0.507418009
112	0.5069945327
113	0.5066544438
114	0.5064811891
115	0.5061380907
116	0.5059595562
117	0.5056239126
118	0.5054236967
119	0.5052111182
120	0.5048575057
121	0.5043639414
122	0.5037267798
123	0.5034456216
124	0.5030873723
125	0.5029716402
126	0.5028422318
127	0.5024922853
128	0.5023741133
129	0.5020851622
130	0.5019497821
131	0.5017939531
132	0.501599192
133	0.5013956262
134	0.5009984214
135	0.5007699832
136	0.5004156968
137	0.5002632393
138	0.4999564638
139	0.4997699213
140	0.4995730844
141	0.4994527395
142	0.499058975
143	0.4989621337
144	0.4988113726
145	0.4987224264
146	0.4983939503
147	0.4981897688
148	0.4980637345
149	0.4979239503
150	0.4978622703
151	0.49768515
152	0.4974622939
153	0.4972925537
154	0.497088651
155	0.4969694106
156	0.4966759228
157	0.4965012749
158	0.4963683846
159	0.4962089102
160	0.4960596896
161	0.4956201241
162	0.4951963423
163	0.4950181745
164	0.494904797
165	0.4948116189
166	0.4946550925
167	0.4943149483
168	0.494194529
169	0.4940561546
170	0.4939154747
171	0.4936461921
172	0.4935557011
173	0.493466014
174	0.493317679
175	0.4930953323
176	0.492970115
177	0.4928068115
178	0.4926820916
179	0.4925288443
180	0.4924371912
181	0.4921539715
182	0.4920509748
183	0.4919799944
184	0.4918735836
185	0.4917193899
186	0.4916004048
187	0.4914779597
188	0.4912844797
189	0.4910101983
190	0.4908292109
191	0.4905758486
192	0.4904159506
193	0.4903252962
194	0.4902775951
195	0.4901126839
196	0.4900768824
197	0.4898725121
198	0.4896423931
199	0.4895292444
200	0.4894078893
201	0.4890620612
202	0.488952797
203	0.488766984
204	0.4886606614
205	0.4885074061
206	0.4884117465
207	0.4880788212
208	0.487952838
209	0.4876557581
210	0.4874917127
211	0.4872677158
212	0.4871514672
213	0.486840494
214	0.4867597109
215	0.4866783864
216	0.4866026636
217	0.4864958355
218	0.4864222553
219	0.4862361071
220	0.4861297625
221	0.4859386494
222	0.4858319849
223	0.4856323549
224	0.4855002785
225	0.485189967
226	0.4850632822
227	0.4848446804
228	0.4847657608
229	0.4845735037
230	0.4841432343
231	0.4840186515
232	0.4838949287
233	0.4836980421
234	0.4835501158
235	0.4832570887
236	0.4831696773
237	0.4830380512
238	0.4828726421
239	0.4827325726
240	0.4824883552
241	0.4822506126
242	0.4821348418
243	0.4820254964
244	0.4819188577
245	0.4817713321
246	0.4816953435
247	0.4814884983
248	0.4813396142
249	0.481212601
250	0.4811032931
251	0.4810195573
252	0.4808858825
253	0.4808159352
254	0.4807119376
255	0.4805279364
256	0.4804358215
257	0.4802569242
258	0.4799790373
259	0.4798322622
260	0.4797536198
261	0.4797064161
262	0.4795764566
263	0.4792238534
264	0.4791434073
265	0.4790192547
266	0.4789260826
267	0.4787976911
268	0.478593224
269	0.478382078
270	0.4782489419
271	0.4781287013
272	0.478042764
273	0.4779818274
274	0.4778871297
275	0.4777452302
276	0.4776641899
277	0.4774207985
278	0.4771524994
279	0.4770505283
280	0.4769450208
281	0.4768413583
282	0.4767364956
283	0.4766352825
284	0.4765198457
285	0.4764089052
286	0.4762056096
287	0.4761123799
288	0.475865816
289	0.4756805058
290	0.4755259577
291	0.4754353916
292	0.4751947714
293	0.4750561419
294	0.4749417461
295	0.4748554802
296	0.4747468132
297	0.4745683244
298	0.47447502
299	0.4744323834
300	0.4743555457
301	0.4742379998
302	0.4741355107
303	0.4740583252
304	0.4739843074
305	0.4739032182
306	0.4737922711
307	0.4737409059
308	0.4736548007
309	0.4735417959
310	0.4733779852
311	0.4733203708
312	0.4732062021
313	0.4731593999
314	0.4729646367
315	0.4729018968
316	0.4728246834
317	0.4727274819
318	0.4725705938
319	0.4724881492
320	0.4723957776
321	0.4723093801
322	0.4721691654
323	0.4719938173
324	0.4719128671
325	0.4718420839
326	0.4717267057
327	0.4715786328
328	0.4714109695
329	0.4713243057
330	0.4712211778
331	0.4709097953
332	0.4708038279
333	0.4707118282
334	0.4706327887
335	0.4705445912
336	0.4705062333
337	0.4703964123
338	0.4703140408
339	0.4702624622
340	0.4701915113
341	0.4700932872
342	0.4700344556
343	0.4699316236
344	0.4698761725
345	0.4698335426
346	0.4697475332
347	0.4696929649
348	0.4695976767
349	0.469546608
350	0.4694307344
351	0.4693525996
352	0.4692696882
353	0.4692028915
354	0.4691359248
355	0.4690481031
356	0.4689860686
357	0.4688921597
358	0.468830064
359	0.4687074243
360	0.4686449447
361	0.4684921236
362	0.4684194483
363	0.4683292462
364	0.4682306256
365	0.4681410753
366	0.4680572585
367	0.4679904799
368	0.4678835408
369	0.4678040028
370	0.4676736379
371	0.4675977936
372	0.4675215344
373	0.4674437247
374	0.4672769287
375	0.4672094566
376	0.4670468722
377	0.4669365373
378	0.4668960322
379	0.4668297292
380	0.4666881574
381	0.4666131327
382	0.4665588123
383	0.466477766
384	0.4663962111
385	0.4663237824
386	0.466258011
387	0.466210837
388	0.4661702374
389	0.4660310434
390	0.4659100419
391	0.4658344643
392	0.4657620936
393	0.465688165
394	0.4656266748
395	0.4655516527
396	0.4654277058
397	0.4653758387
398	0.4652534319
399	0.4652050076
400	0.4651448838
401	0.4650604999
402	0.4650163993
403	0.4649341729
404	0.4648705119
405	0.464814086
406	0.4647230298
407	0.4646608171
408	0.4646180078
409	0.4645713574
410	0.4644957718
411	0.4644242279
412	0.4643598554
413	0.4643191336
414	0.464249916
415	0.4641850909
416	0.4641371317
417	0.4640235195
418	0.4639724096
419	0.4639201088
420	0.4638859826
421	0.4638368401
422	0.4638045748
423	0.4637628744
424	0.4637188394
425	0.463681129
426	0.4635926702
427	0.4635287168
428	0.4634601917
429	0.4634064822
430	0.4633372559
431	0.4632789864
432	0.463216747
433	0.4631300498
434	0.4630819318
435	0.4630249128
436	0.4629494783
437	0.4629119146
438	0.4628368288
439	0.4627665242
440	0.4627190164
441	0.4626543547
442	0.4625929431
443	0.4625488935
444	0.4624994389
445	0.4624604712
446	0.4623897311
447	0.4623246361
448	0.4622666586
449	0.462197251
450	0.4621442116
451	0.4619767209
452	0.4619417488
453	0.4618886824
454	0.4618257715
455	0.4617881394
456	0.4617248204
457	0.4616336481
458	0.4615941313
459	0.4615447835
460	0.4614759774
461	0.4614094068
462	0.4613498256
463	0.4613122557
464	0.4612475856
465	0.4611336595
466	0.4610897696
467	0.461033188
468	0.4610046738
469	0.4609231512
470	0.4608743269
471	0.4608281016
472	0.4607508285
473	0.4607054788
474	0.4606476427
475	0.4605932825
476	0.4605573332
477	0.4605015585
478	0.4604397629
479	0.4603902123
480	0.4603375177
481	0.4602884482
482	0.4602434318
483	0.4601788416
484	0.4601063833
485	0.4600587248
486	0.45999765
487	0.459953332
488	0.4598755421
489	0.4598071513
490	0.4597578383
491	0.4596929448
492	0.4596499807
493	0.4595992701
494	0.4595533438
495	0.459496412
496	0.4593990529
497	0.4593446452
498	0.4592697414
499	0.4591896147
500	0.4591434242
501	0.4591029835
502	0.4590530743
503	0.4590015003
504	0.458960347
505	0.458915029
506	0.4588657105
507	0.45867175
508	0.4586391819
509	0.4585612128
510	0.4585088373
511	0.4584653126
512	0.4584207692
513	0.4583678868
514	0.4582625912
515	0.4582193846
516	0.458166362
517	0.4581262648
518	0.4580639159
519	0.4579796829
520	0.4578908566
521	0.4578544006
522	0.4578261817
523	0.4577783304
524	0.457747612
525	0.4576961017
526	0.4575580388
527	0.4575188131
528	0.4574555347
529	0.4574220585
530	0.4573517202
531	0.4572833856
532	0.4572475013
533	0.4571990007
534	0.457146145
535	0.4571031922
536	0.4570650501
537	0.4570286474
538	0.4570010303
539	0.4569515879
540	0.4569198014
541	0.4568771854
542	0.456834779
543	0.4567638622
544	0.4567259976
545	0.4566877177
546	0.4566472531
547	0.4565982376
548	0.4565715242
549	0.4564602506
550	0.4564329904
551	0.4563745237
552	0.4563160285
553	0.4562432018
554	0.4562017356
555	0.4561226725
556	0.4560523391
557	0.4559586175
558	0.4559201495
559	0.4558702766
560	0.4557707912
561	0.4556850366
562	0.4555861775
563	0.4555413717
564	0.455499717
565	0.4554202945
566	0.4553765851
567	0.4553504273
568	0.455305701
569	0.455267403
570	0.4552174435
571	0.455176597
572	0.4550836042
573	0.4550258724
574	0.4549816761
575	0.4549461778
576	0.454899242
577	0.4547826689
578	0.4547360076
579	0.4546827035
580	0.4546321393
581	0.4545589839
582	0.454511402
